soc_code,title,summary_what_they_do,summary_how_to_become_one
13-1071.00,Human Resources Specialists,"
    		<h4>What Human Resources Specialists Do </h4>
			
<p>Human resources specialists recruit, screen, interview, and place workers. They often handle other human resources work, such as those related to employee relations, compensation and benefits, and training.</p>
		","
    		<h4>How to Become a Human Resources Specialist</h4>
    		
<p>Applicants must usually have a bachelor&rsquo;s degree in human resources, business, or a related field. However, the level of education and experience required varies by position and employer.</p>
		"
13-1075.00,Labor Relations Specialists,"
    		<h4>What Labor Relations Specialists Do </h4>
			
<p>Labor relations specialists interpret and administer labor contracts regarding issues such as wages and salaries, healthcare, pensions, and union and management practices.</p>
		","
    		<h4>How to Become a Labor Relations Specialist</h4>
    		
<p>Applicants usually have a bachelor&rsquo;s degree in labor relations, human resources, industrial relations, business, or a related field. However, the level of education and experience required varies by position and employer.</p>
		"
13-1081.00,Logisticians,"
    		<h4>What Logisticians Do </h4>
			
<p>Logisticians analyze and coordinate an organization&rsquo;s supply chain&mdash;the system that moves a product from supplier to consumer. They manage the entire life cycle of a product, which includes how a product is acquired, allocated, and delivered.</p>
		","
    		<h4>How to Become a Logistician</h4>
    		
<p>A bachelor&rsquo;s degree is typically required to enter the occupation, although an associate&rsquo;s degree may be sufficient for some logistician jobs.</p>
		"
13-1131.00,Fundraisers,"
    		<h4>What Fundraisers Do </h4>
			
<p>Fundraisers organize events and campaigns to raise money and other kinds of donations for an organization. They also may design promotional materials and increase awareness of an organization&rsquo;s work, goals, and financial needs.</p>
		","
    		<h4>How to Become a Fundraiser</h4>
    		
<p>Fundraisers typically need a bachelor&rsquo;s degree and strong communication and organizational skills. Employers generally prefer candidates who have studied public relations, journalism, communications, English, or business.</p>
		"
13-1141.00,"Compensation, Benefits, and Job Analysis Specialists","
    		<h4>What Compensation, Benefits, and Job Analysis Specialists Do </h4>
			
<div>
<p>Compensation, benefits, and job analysis specialists conduct an organization&rsquo;s compensation and benefits programs. They also evaluate position descriptions to determine details such as classification and salary.</p>
</div>
		","
    		<h4>How to Become a Compensation, Benefits, and Job Analysis Specialist</h4>
    		
<p>Compensation, benefits, and job analysis specialists need a combination of a bachelor&rsquo;s degree and related work experience.</p>
		"
13-1151.00,Training and Development Specialists,"
    		<h4>What Training and Development Specialists Do </h4>
			
<p>Training and development specialists help plan, conduct, and administer programs that train employees and improve their skills and knowledge.</p>
		","
    		<h4>How to Become a Training and Development Specialist</h4>
    		
<p>In addition to a bachelor&rsquo;s degree, training and development specialists also need work experience and strong communication skills.</p>
		"
13-2011.00,Accountants and Auditors,"
    		<h4>What Accountants and Auditors Do </h4>
			
<p>Accountants and auditors prepare and examine financial records. They ensure that financial records are accurate and that taxes are paid properly and on time. Accountants and auditors assess financial operations and work to help ensure that organizations run efficiently.</p>
		","
    		<h4>How to Become an Accountant or Auditor</h4>
    		
<p>Most employers require a candidate to have a bachelor&rsquo;s degree in accounting or a related field. Certification within a specific field of accounting improves job prospects. For example, many accountants become Certified Public Accountants (CPAs).</p>
		"
13-2021.00,Appraisers and Assessors of Real Estate,"
    		<h4>What Appraisers and Assessors of Real Estate Do </h4>
			
<p>Appraisers and assessors of real estate provide a value estimate on land and buildings usually before they are sold, mortgaged, taxed, insured, or developed.</p>
		","
    		<h4>How to Become an Appraiser or Assessor of Real Estate</h4>
    		
<p>Most appraisers and assessors must be licensed or certified, but requirements vary widely. To obtain a certification, appraisers of residential or commercial property usually need to have at least a bachelor's degree. For assessors, most states set education and experience requirements that they must meet in order to practice.</p>
		"
13-2031.00,Budget Analysts,"
    		<h4>What Budget Analysts Do </h4>
			
<p>Budget analysts help public and private institutions organize their finances. They prepare budget reports and monitor institutional spending.</p>
		","
    		<h4>How to Become a Budget Analyst</h4>
    		
<p>A bachelor&rsquo;s degree is typically required to become a budget analyst. Courses in accounting, economics, and statistics are helpful.</p>
		"
13-2061.00,Financial Examiners,"
    		<h4>What Financial Examiners Do </h4>
			
<p>Financial examiners ensure compliance with laws governing financial institutions and transactions. They review balance sheets, evaluate the risk level of loans, and assess bank management.</p>
		","
    		<h4>How to Become a Financial Examiner</h4>
    		
<p>Financial examiners typically need a bachelor&rsquo;s degree that includes some coursework in accounting. Entry-level examiners are trained on the job by senior examiners.</p>
		"
13-2072.00,Loan Officers,"
    		<h4>What Loan Officers Do </h4>
			
<p>Loan officers evaluate, authorize, or recommend approval of loan applications for people and businesses.</p>
		","
    		<h4>How to Become a Loan Officer</h4>
    		
<p>Most loan officers need a bachelor&rsquo;s degree and receive on-the-job training. Mortgage loan officers must be licensed.</p>
		"
15-1111.00,Computer and Information Research Scientists,"
    		<h4>What Computer and Information Research Scientists Do </h4>
			
<p>Computer and information research scientists invent and design new approaches to computing technology and find innovative uses for existing technology. They study and solve complex problems in computing for business, medicine, science, and other fields.</p>
		","
    		<h4>How to Become a Computer and Information Research Scientist</h4>
    		
<p>Most jobs for computer and information research scientists require a master&rsquo;s degree in computer science or a related field. In the federal government, a bachelor&rsquo;s degree may be sufficient for some jobs.</p>
		"
15-1121.00,Computer Systems Analysts,"
    		<h4>What Computer Systems Analysts Do </h4>
			
<p>Computer systems analysts, sometimes called <em>systems architects</em>, study an organization&rsquo;s current computer systems and procedures, and design solutions to help the organization operate more efficiently and effectively. They bring business and information technology (IT) together by understanding the needs and limitations of both.</p>
		","
    		<h4>How to Become a Computer Systems Analyst</h4>
    		
<p>A bachelor&rsquo;s degree in a computer or information science field is common, although not always a requirement. Some firms hire analysts with business or liberal arts degrees who have skills in information technology or computer programming.</p>
		"
