O*NET-SOC Code,Tool Name
11-1011.00,10-key calculators
11-1011.00,Desktop computers
11-1011.00,Laptop computers
11-1011.00,Personal computers
11-1011.00,Personal digital assistants PDA
11-1011.00,Smartphones
11-1011.00,Universal serial bus USB flash drives
11-1011.00,Adobe Systems Adobe Acrobat
11-1011.00,AdSense Tracker
11-1011.00,Atlassian JIRA
11-1011.00,Blackbaud The Raiser's Edge
11-1011.00,ComputerEase Construction Accounting
11-1011.00,Database reporting software
11-1011.00,Databox
11-1011.00,Email software
11-1011.00,Enterprise resource planning ERP software
11-1011.00,Exact Software Macola ES Labor Performance
11-1011.00,Extensible markup language XML
11-1011.00,Fund accounting software
11-1011.00,Graphic presentation software
11-1011.00,Halogen e360
11-1011.00,Halogen ePraisal
11-1011.00,HCSS HeavyBid
11-1011.00,HCSS HeavyJob
11-1011.00,Human resource information system HRIS
11-1011.00,Infor SSA Human Capital Management
11-1011.00,Intuit QuickBooks
11-1011.00,Listserv software
11-1011.00,Lyris HQ Web-Analytics Solution
11-1011.00,Microsoft Access
11-1011.00,Microsoft Dynamics AX
11-1011.00,Microsoft Dynamics GP
11-1011.00,Microsoft Excel
11-1011.00,Microsoft FRx
11-1011.00,Microsoft Office
11-1011.00,Microsoft Outlook
11-1011.00,Microsoft PowerPoint
11-1011.00,Microsoft Project
11-1011.00,Microsoft Publisher
11-1011.00,Microsoft SharePoint
11-1011.00,Microsoft Word
11-1011.00,Nedstat Sitestat
11-1011.00,Norchard Solutions Succession Wizard
11-1011.00,Online advertising reporting software
11-1011.00,Oracle E-Business Suite
11-1011.00,Oracle PeopleSoft
11-1011.00,Oracle Siebel Server Sync
11-1011.00,PHP: Hypertext Preprocessor
11-1011.00,Relational database management software
11-1011.00,Sage 50 Accounting
11-1011.00,SAP
11-1011.00,Structured query language SQL
11-1011.00,Web browser software
11-1011.03,10-key calculators
11-1011.03,Computer data input scanners
11-1011.03,Desktop computers
11-1011.03,Handheld computers
11-1011.03,Laptop computers
11-1011.03,Multi-line telephone systems
11-1011.03,Personal computers
11-1011.03,Photocopying equipment
11-1011.03,Smartphones
11-1011.03,Video teleconferencing systems
11-1011.03,Email software
11-1011.03,Microsoft Access
11-1011.03,Microsoft Dynamics GP
11-1011.03,Microsoft Excel
11-1011.03,Microsoft Office
11-1011.03,Microsoft PowerPoint
11-1011.03,Microsoft Project
11-1011.03,Microsoft Word
11-1011.03,SAP
11-1011.03,Scheduling software
11-1011.03,Teleconferencing software
11-1011.03,Web browser software
11-1021.00,10-key calculators
11-1021.00,Cell phones
11-1021.00,Computer scanners
11-1021.00,Credit card processing machines
11-1021.00,Desktop computers
11-1021.00,Digital cameras
11-1021.00,Handtrucks
11-1021.00,Humidity test chambers
11-1021.00,Laptop computers
11-1021.00,Magnetic card readers
11-1021.00,Personal computers
11-1021.00,Personal digital assistants PDA
11-1021.00,Photocopying equipment
11-1021.00,Point of sale POS systems
11-1021.00,Profilometers
11-1021.00,Spectrometers
11-1021.00,Surveillance cameras
11-1021.00,Vacuum test chambers
11-1021.00,ActionWare
11-1021.00,Adobe Systems Adobe Acrobat
11-1021.00,Adobe Systems Adobe Photoshop
11-1021.00,ADP Workforce Now
11-1021.00,AMG Teleran SalesInSync
11-1021.00,Apache Hadoop
11-1021.00,Apple Final Cut Pro
11-1021.00,Apple macOS
11-1021.00,Atlassian JIRA
11-1021.00,Autodesk AutoCAD
11-1021.00,Avidian Technologies Prophet
11-1021.00,Blackbaud The Raiser's Edge
11-1021.00,Blackboard
11-1021.00,CA Erwin Data Modeler
11-1021.00,Calendar and scheduling software
11-1021.00,Citrix
11-1021.00,CNC Mastercam
11-1021.00,Computer aided manufacturing CAM software
11-1021.00,Confluence
11-1021.00,Customer information control system CICS
11-1021.00,Data entry software
11-1021.00,Datawatch Monarch
11-1021.00,Deacom ERP
11-1021.00,Delphi Technology
11-1021.00,Dynamic Energy Systems MedAct
11-1021.00,Extensible markup language XML
11-1021.00,Facebook
11-1021.00,FileMaker Pro
11-1021.00,Fund accounting software
11-1021.00,Geographic information system GIS software
11-1021.00,Google AdWords
11-1021.00,Google Analytics
11-1021.00,Google Docs
11-1021.00,HEAT Software GoldMine
11-1021.00,Human resource management software HRMS
11-1021.00,Human resources software
11-1021.00,IBM Cognos Impromptu
11-1021.00,IBM Domino
11-1021.00,IBM InfoSphere DataStage
11-1021.00,IBM Notes
11-1021.00,IBM Power Systems software
11-1021.00,IBM SPSS Statistics
11-1021.00,InnQuest Software roomMaster
11-1021.00,Intuit QuickBooks
11-1021.00,Inventory management software
11-1021.00,Job control language JCL
11-1021.00,Kronos Workforce Payroll
11-1021.00,Kronos Workforce Timekeeper
11-1021.00,LexisNexis
11-1021.00,LinkedIn
11-1021.00,LSA Visual Easy Lean
11-1021.00,Marketo Marketing Automation
11-1021.00,Maximizer Software Maximizer Enterprise
11-1021.00,McAfee
11-1021.00,Microsoft Access
11-1021.00,Microsoft Dynamics
11-1021.00,Microsoft Dynamics GP
11-1021.00,Microsoft Excel
11-1021.00,Microsoft Exchange Server
11-1021.00,Microsoft FrontPage
11-1021.00,Microsoft Internet Explorer
11-1021.00,Microsoft Office
